scope,source_projects,question,answer
single_project,FP019,What measures will the project use to address coordination risks?,"The project will strengthen coordination mechanisms, use participatory land-use planning, scale up existing finance instruments, establish inter-institutional agreements, and create dialogue and decision-making mechanisms."
single_project,FP019,What financial risk is noted for the broader REDD+ Action Plan?,"Future REDD+ results-based payments may not materialize, which could affect the long-term financial sustainability of the national REDD+ Action Plan."
single_project,FP019,How does the project plan to reduce the financial risk related to future REDD+ payments?,"The project will invest in financial instruments, support sustainable production, enforce land-use zoning, transform markets, introduce REDD+ concepts into national financial incentives, and monitor international progress on results-based payments."
single_project,FP019,What land tenure risk is mentioned in the project?,Some agricultural production units still need titling updates because parts of properties overlap with other land uses or other properties. Additional financial resources are needed to complete land allocation and regulation.
single_project,FP033,What share of Mauritiusâ€™s primary energy requirements is met from imported fossil fuels?,0.84
single_project,FP033,What low-carbon investment areas is the Mauritius project designed to support?,Grid-connected intermittent renewable energy; and mini-grid PV
single_project,FP033,What total GHG emissions reduction is expected over the lifetimes of the investments enabled?,4.27 million tCO2e.
single_project,FP033,What is the estimated GCF cost per tonne of CO2 equivalent?,6.6 USD/tCO2eq
single_project,FP033,What final target is set for low-emission power supply in Mauritius?,35.0 %.
single_project,FP033,What grid absorption capacity target is set for intermittent renewable energy?,185 MW
single_project,FP033,What utility-scale photovoltaics generation target is set under deployment?,130 MW
single_project,FP033,What PV capacity is planned for Agalega?,300 kW
single_project,FP033,How many OIDC staff were expected to be trained?,8
single_project,FP033,How will risks from delays in procurement of technical assistance be mitigated?,The UNDP Country Office will put its procurement processes at the disposal of the Government of Mauritius.
single_project,FP033,How will gender participation risks be mitigated?,"Gender-disaggregated data will be used for monitoring outputs, outcomes and impacts during project implementation to ensure womenâ€™s participation in capacity building and employment opportunities."
single_project,FP039,Which renewable technologies are targeted in Egypt's framework designed to scale private renewable energy investments?,On-shore wind and solar.
single_project,FP039,How many renewable energy projects is Egypt's financing framework expected to support?,8-12 projects.
single_project,FP039,Would a sovereign guarantee for the off-taker help reduce payment risk in a privately financed renewable energy programme?,Yes. 
single_project,FP039,What are the two components of the Egypt Renewable Energy Financing Framework?,"Component 1 â€“ Enhancing renewable energy integration, policies and planning through a comprehensive technical assistance programme; Component 2 â€“ Scaling up renewable energy investments, by blending EBRD and GCF financing and leveraging additional debt financing."
single_project,FP039,What annual electricity generation is expected from projects co-financed under the framework?,"1,400 GWh"
single_project,FP039,What annual GHG emissions are expected to be avoided once all projects are operational?,"800,000 tCO2eq"
single_project,FP039,How is the regulatory risk related to feed-in tariffs mitigated?,This risk is mitigated by the strong institutional commitment to renewable energy. This risk is further mitigated by a robust contractual framework supported by a sovereign guarantee for EETC's payment obligations under the power purchase agreement.
single_project,FP039,How is the creditworthiness risk of the off-taker mitigated?,This risk is mitigated by the provision of a sovereign guarantee for EETC's payment obligations.
single_project,FP039,What employment benefits are expected from the Egypt renewable energy framework?,"4,000 short-term jobs during construction and 200 long-term jobs during operation."
single_project,FP063,Which part of the economy is targeted by the energy efficiency programme in Paraguay?,Small and medium-sized enterprises in the industrial sector.
single_project,FP063,What is the project's final target for energy savings over its lifetime?,"2,134 GWh"
single_project,FP063,What financing barrier is the Paraguay programme mainly trying to solve for industrial energy efficiency projects?,"micro, small and medium-sized enterprises (henceforth SMEs for simplicity) have an inadequate access to medium and long-term finance to narrow technology gaps and boost productivity and growth"
single_project,FP063,"What is the projectâ€™s title, country, accredited entity, sector, size, cost, and expected duration?","The project is titled â€œPromoting private sector investments in energy efficiency in the industrial sector in Paraguay.â€ It is in Paraguay, accredited through the Inter-American Development Bank, in the private sector, small size, with a cost of USD 43,000,000, an expected implementation period of 5 years, and an expected lifespan of 5 years."
single_project,FP063,What financing problem do small and medium-sized enterprises in Paraguay face?,They have inadequate access to medium and long-term finance to narrow technology gaps and improve productivity and growth.
single_project,FP063,What kinds of energy efficiency investments are restricted by inadequate financing and limited electricity transmission access?,"Replacing old equipment with efficient equipment that reduces firewood, biomass, and fossil fuel use; replacing old equipment with efficient equipment that uses hydropower electricity instead; and retrofitting equipment to reduce use of firewood, biomass, and fossil fuels."
single_project,FP063,How much greenhouse gas reduction is expected over the project lifetime according to the project description?,4 million tCO2eq
single_project,FP063,How will reimbursable funding support energy efficiency projects for small and medium-sized enterprises?,"It will increase medium and long-term financing for energy efficiency projects by supporting financing mechanisms and instruments, while improving the technical capacity and knowledge of local financial institutions and small and medium-sized enterprises."
single_project,FP063,Through which institutions shall the reimbursable resources be channeled?,The resources will be channeled through a sovereign-guaranteed loan from the Inter-American Development Bank to Agencia Financiera de Desarrollo.
single_project,FP063,"What are the projectâ€™s estimated greenhouse gas reduction, mitigation area, and adaptation status?","The estimated greenhouse gas reduction is 4,004,899. The mitigation area is buildings, cities, industries and appliances. Adaptation is not included."
single_project,FP063,How will the project address high risk perceptions of energy efficiency projects?,"The project will address this risk through capacity building and awareness enhancement, third-party technical due diligence, shared insurance mechanisms, and by relying on economic conditions that increase interest in energy efficiency investments."
single_project,FP063,What problem might arise about creating a financing market for energy efficiency investments?,There is a risk that the project will not create a financing market for energy efficiency investments and that financial institutions will remain dependent on concessional credit lines.
single_project,FP063,How will the project prevent financial institutions from remaining dependent on concessional credit lines?,"It will provide initial market support, technical support for early-financed projects, demonstration projects, capacity building, loan resources, and risk-sharing mechanisms so local financial institutions can gain experience with energy efficiency investments."
single_project,FP064,Which technologies are eligible under Argentina's sustainable energy financing programme?,"Biomass, biogas, and energy efficiency technologies."
single_project,FP064,How many renewable energy sub-projects and energy efficiency sub-projects is the Argentina programme expected to finance?,"1,375 renewable energy sub-projects, 1136 energy efficiency sub-projects"
single_project,FP064,What is the main aim of the project in Argentina?,"To mobilize concessional finance from the Green Climate Fund to promote efficiency in the production and use of energy in Argentina, reduce greenhouse gas emissions, and create a better long-term financing environment for sustainable energy investments."
single_project,FP064,Which institution will execute the reimbursable resources in Argentina?,Banco de InversiÃ³n y Comercio Exterior S.A.
single_project,FP064,How will the concessional line of financing be delivered?,"Through first-tier local financial intermediaries and, where appropriate, direct sub-project funding to help start the evolving market."
single_project,FP064,How much non-reimbursable grant funding will finance technical assistance activities?,3 million USD
single_project,FP064,What energy and emissions impacts are expected over the project lifetime?,"Reduce energy consumption by 229 GWh, generate 8,842 GWh and reduce greenhouse gass emissions by about 9.1 million tCO2eq"
single_project,FP064,What national energy and climate objectives is the project aligned with?,"The project is aligned with Argentinaâ€™s objective to increase renewable energyâ€™s share in the energy matrix to 20%, reduce energy consumption by 5.9% by 2025, and support its intended nationally determined contribution to reduce greenhouse gas emissions by 15% in 2030 compared with business-as-usual projections."
single_project,FP064,"What are the projectâ€™s estimated greenhouse gas reduction, mitigation areas, main addressed energy types, and adaptation status?","The estimated greenhouse gas reduction is 9,110,338 tCO2eq. The mitigation areas are energy, mitigation and access, and buildings, cities, industries and appliances. The addressed energy type is biogas, biomethane, and biomass. Adaptation is not included."
single_project,FP064,What operational risk is related to human capacity?,"The project may have limited or insufficient human capacity, including technical expertise, legal or regulatory compliance capacity, or a network of technology providers, to keep up with supported sub-project development."
single_project,FP064,How will the project mitigate the operational risk related to limited human capacity?,The project will use Component 1 activities and work with relevant public and private entities to transfer knowledge from third-party technical experts and develop local competences.
single_project,FP064,What macroeconomic and fiscal sustainability risk is identified?,"A weakening of future economic conditions, including exchange rates and repatriation of capital flows, could negatively affect private investment conditions, demand for new credit, or the credit profiles of existing projects."
single_project,FP064,How will the project mitigate macroeconomic and fiscal sustainability risks?,"BICE will bear potential foreign exchange risks, the project team will monitor the eligible project pipeline and portfolio, macroeconomic conditions and regulations will be monitored, and in-depth credit analysis of financial intermediaries and SMEs will be conducted."
single_project,FP064,What are the probability and impact ratings for the risk of high risk perceptions of renewable energy and energy efficiency projects?,The probability is medium and the impact is high.
single_project,FP064,How will the project reduce high risk perceptions of renewable energy and energy efficiency projects?,"The project will use capacity building and awareness enhancement, third-party technical due diligence, and shared insurance mechanisms to reduce perceived risks."
single_project,FP064,What risk is identified about achieving expected energy savings?,There is a risk that the energy efficiency investment projects will not achieve expected energy savings or that the savings will not occur in the expected timeframe.
single_project,FP064,How will the project address the risk that expected energy savings are not achieved?,"The risk will be transferred to sub-project developers, and guarantees or surety bonds from energy service and technology providers will protect end users, SMEs, and lenders if equipment failure prevents expected savings."
single_project,FP064,What uptake risk is identified for the proposed instruments?,There is a risk that Argentinaâ€™s target SME firms and financial institutions may take up the proposed instruments more slowly or with less momentum than expected.
single_project,FP064,How will the project encourage uptake of the proposed instruments by firms and financial institutions?,"The project will consult market actors, socialize each mechanism, integrate feedback during financial strategy design and implementation, and standardize and simplify documentation and procedures to reduce transaction costs."
single_project,FP064,What risk could arise if replaced equipment is not properly decommissioned and disposed of?,"If replaced equipment is not properly decommissioned and disposed of, it could lead to greenhouse gas leakages through re-utilization and soil contamination."
single_project,FP064,How will the project manage risks from replaced equipment?,"BICE, with IDB support, will design and implement a decommissioning and disposal protocol, require old equipment to be properly decommissioned and disposed of, and ensure disposal follows national regulations with licensed or certified waste management providers."
single_project,FP064,What is the targeted proportion of low-emission power supply by the end of the project?,8%
single_project,FP064,"What are the baseline, intermediate, and final targets for low-emission energy capacity?","The baseline is 709.0 MW, the intermediate target is 768.0 MW, and the final target is 823.0 MW."
single_project,FP064,What does the renewable energy generation outcome aim to finance and install?,It aims to finance and install renewable energy generation with Green Climate Fund support by providing adequate financing to viable sustainable energy projects and helping close Argentinaâ€™s financing gap for these investments.
single_project,FP064,What is the final target for annual energy produced from renewable energy sources by financed sub-projects?,"8,842 GWh"
single_project,FP064,What is the final target for annual energy saved from energy efficiency technologies?,229.4 GWh
single_project,FP064,"What is the final target for emissions reduced or avoided in buildings, cities, industries, and appliances?","269,203 tCO2eq"
single_project,FP064,What activities are included under Component 1?,"Developing financial and non-financial instruments, strengthening capacity of BICE, financial intermediaries, service providers, project developers and validators, seed incentives, and knowledge sharing."
single_project,FP064,How many technical assistance studies or reports shall be carried during the project?,15
single_project,FP064,"How many training sessions shall be carried throughout the project, and how many participants are expected to attend them?",The project targets 25 completed training sessions and 175 participants.
single_project,FP064,What are the final targets for renewable energy and energy efficiency sub-projects financed?,"The final targets are 1,375 renewable energy sub-projects and 1,136 energy efficiency sub-projects financed."
single_project,FP064,What annual savings in reduced infrastructure investments are expected?,"96,000,000 USD/year"
single_project,FP064,What local and regional air quality benefits are expected from the project?,"The project is expected to reduce annual air pollutants by 4,752 tons of SO2, 766 tons of NOx, and 14 tons of mercury."
single_project,FP064,What social employment benefits are expected from the project?,"The project is expected to serve more than 1,200 SMEs and create more than 1,950 additional green jobs, including 778 jobs in biogas and biomass and 1,180 jobs in energy efficiency."
single_project,FP064,How does the project aim to encourage womenâ€™s participation in the sector?,"The project aims to encourage womenâ€™s interest through promotional activities, access to information and training, improved technological literacy, and support for womenâ€™s entrepreneurship in renewable energy and energy efficiency technologies."
single_project,FP064,How many jobs are expected to be created for women?,200
single_project,FP071,What sector is the Vietnam energy efficiency project aiming to scale up EE in?,The high-energy intensive industrial sector.
single_project,FP071,What market barriers was the project designed to reduce?,"Lack of access to finance and capacity of stakeholders, high project risk perceptions, and the existence of an insufficient policy and regulatory framework that governs EE in the industrial sector."
single_project,FP071,What are the two components of the Vietnam industrial energy efficiency project?,Component 1: US$78 million GCF Risk Sharing Facility (GCF-RSF); Component 2: US$10 million World Bank and GCF Technical Assistance (WB/GCF-TA).
single_project,FP071,What IBRD project complements the GCF risk sharing facility and technical assistance?,US$100 million World Bank Energy Efficiency Credit Line - Vietnam Energy Efficiency for Industrial Enterprises Project (WB-VEEIE).
single_project,FP071,How many industrial companies is the project expected to support?,Over 100
single_project,FP071,What final target is set for tonnes of carbon dioxide equivalent reduced over the lifetime?,"120,000,000"
single_project,FP071,What is the final target for volume of finance leveraged?,411 million USD
single_project,FP071,What final objective is set for annual energy efficiency savings?,"4,700 GWh/year"
single_project,FP071,What power generation capacity saving is the projectâ€™s estimated annual energy saving equivalent to?,"2,100 MW"
single_project,FP071,How many bankable EE projects are expected to be developed?,160
single_project,FP071,How many industrial entities are expected to adopt improved EE technologies?,100
single_project,FP071,How much financing is expected to be leveraged by PFIs and IEs?,303.7 million USD
single_project,FP071,How many loan officers of PFIs are expected to be trained?,50
single_project,FP071,How many IEs and ESCOs are expected to be reached through workshops?,200
single_project,FP071,How many industrial enterprises are expected to be certified for ISO 50 001/EMS?,90
single_project,FP071,How will the project mitigate weak government commitment and capacity to promote industrial energy conservation?,"The project, together with the IBRD Loan and the ongoing CPEE project, will provide TA and capacity building to the MoIT to strengthen EE policies and institutional capacity."
single_project,FP071,How will the project mitigate risks related to PFIsâ€™ technical and financial capacity?,"PFIs selected according to eligible criteria i.e. PFIs need to demonstrate strong financial capacity and experiences in EE lending. In addition, TA will provide capacity building to PFIs and IEs on identification of EE subprojects, technical appraisal and project monitoring."
single_project,FP071,How will the project mitigate macroeconomic risks that could slow the EE investment pipeline?,The project will provide TA to IEs and PFIs on FOREX management and interest rate swaps. The risk sharing facility will build up confidence for PFIs and IEs in EE investments. An associated Carbon Finance Program will provide additional revenues to IEs that make EE investments more attractive.
single_project,FP071,"How will the project mitigate risks from inadequate support to PFIs and IEs in identifying, appraising and monitoring EE investments?","Comprehensive capacity building program provided by TA component including technical capacity for identification, appraisal and monitoring. A parallel carbon finance program is under development to provide complementary resources for TA and establishment of MRV system to ensure the impact and sustainability."
single_project,FP071,What financial management mitigation measures are stated for fiduciary risk?,"The appointment of a qualified project chief accountant by all IAs, to be approved by the Bank; detailed OM with established formal process of approving payments at all levels and all IAs; separating the MoIT PMB from the lending cycle to PFIs and investment owners; and training on the Bank FM requirements to the PMB, PFIs, and investment owners."
single_project,FP071,What procurement mitigation measures are stated for fiduciary risk?,"Appoint procurement officer or hire a procurement specialist with adequate qualifications and experience; prepare and adopt a project OM, including a chapter on procurement; and provide procurement training for project management unit staff."
single_project,FP071,How will environmental and social safeguard risks from sub-projects be managed?,"All subprojects will be screened carefully case by case, to determine the appropriate category and environmental safeguard instruments to manage the potential impacts."
single_project,FP071,What safeguard frameworks has MOIT prepared for the project?,ESMF/RPF/EMPF frameworks.
single_project,FP071,How will stakeholder risk from low interest and weak stakeholders be mitigated?,"The project will provide TA and capacity building to the PFIs for business development; link with the governmentâ€™s voluntary agreements with key IEs; and link with the ongoing IFCâ€™s EE financing advisory services to the PFIs, and other donorsâ€™ programs."
single_project,FP071,"Across the sector-policy, macroeconomic, and stakeholder risks, what probability and impact ratings are stated?","Sector strategies and policies: Probability high, Impact low. Macroeconomic: Probability high, Impact low. Stakeholders: Probability high, Impact medium."
single_project,FP071,What economic co-benefits are expected from industrial energy efficiency investments?,"Increased productivity, profitability and competitiveness of the firms due to reduced energy cost."
single_project,FP071,How would reduced energy consumption affect future power plant construction needs?,"The reduced energy consumption would allow to cancel or postpone construction of new coal fired power plants of about 2,100 MW with 95% capacity factor."
single_project,FP071,What is the purpose of the gender analysis conducted as part of the social impact assessment?,"The assessment is conducted to understand the potential impacts at community, organizational, and individual levels once introducing industry EE investments under the proposed project."
single_project,FP071,How could gender analysis affect EE lending or risk-sharing selection criteria?,"The selection criteria of EE lending and/or risk sharing would include preference to sub-projects that improve working conditions for women, or exclude any proposal that may have adverse impact on gender gaps."
single_project,FP080,What share of Zambiaâ€™s installed generation capacity relies on hydropower?,Nearly 90%
single_project,FP080,What renewable energy capacity does the REFiT strategy initially aim to bring onto the grid?,200 MW
single_project,FP080,How is the initial 200 MW renewable energy target divided?,100 MW solar PV and 100 MW small-hydropower.
single_project,FP080,What final target is set for low-emission energy capacity installed with GCF support?,100 MW
single_project,FP080,How many people are expected to have improved access to low-emission energy sources?,298000
single_project,FP080,How many solar IPP projects are expected to be financed?,6
single_project,FP080,What is the goal number of local institutions that will be involved in private sector renewable energy financing?,4
single_project,FP080,How will grid absorptive capacity and connection risk be mitigated?,Only projects located less than 10 km to the grid interconnection point will be eligible for the program and the grid connection will be part of the project cost.
single_project,FP080,How will foreign exchange risk be mitigated?,PPAs with ZESCO are signed in the USD term and ZESCO is expected to make payment in USD.
single_project,FP080,What job creation benefits are expected from the programme?,About 500 green jobs during the construction phase and additional ~50 jobs for operations and maintenance.
single_project,FP081,What rooftop solar capacity is the line of credit in India aiming to support in its initial phase?,250 MW
single_project,FP081,Which market segment is expected to make up the largest share of rooftop solar demand?,Commercial and industrial users.
single_project,FP081,What renewable energy capacity target has India stated in its Nationally Determined Contribution?,India stated that it will achieve 40% cumulative electric power capacity from non-fossil fuel based energy resources by 2030.
single_project,FP081,What rooftop solar target has the Government of India set for 2022?,40 GW of rooftop solar power by 2022
single_project,FP081,What financing constraint affects rooftop solar expansion in India?,The availability of long-term debt financing remains a major constraint for expanding rooftop solar power in India.
single_project,FP081,What is Indiaâ€™s installed rooftop solar capacity as of March 2017?,1.4 GW
single_project,FP081,Which states are leading in installed rooftop solar capacity as of March 2017?,"Tamil Nadu, Maharashtra, and Rajasthan"
single_project,FP081,Which market segment has the largest share of installed rooftop solar capacity and what is that share?,The commercial and industrial segment
single_project,FP081,Who is the executing entity for the programme?,Tata Cleantech Capital Limited.
single_project,FP081,What resources are requested from the Green Climate Fund and what will Tata Cleantech Capital Limited contribute?,"The programme seeks USD 100 million of Green Climate Fund resources in the form of senior loans, and Tata Cleantech Capital Limited will also contribute USD 100 million."
single_project,FP081,What lifetime emission reduction is expected from the programme?,"5,200,000 tCO2eq"
single_project,FP081,How will Green Climate Fund financial assistance be routed to Tata Cleantech Capital Limited?,"The financial assistance will be routed through NABARD, which will on-lend it to Tata Cleantech Capital Limited in Indian rupees."
single_project,FP081,How will Tata Cleantech Capital Limited provide financing under the programme?,"Tata Cleantech Capital Limited will provide project loans to solar rooftop developers after detailed technical, financial, and economic due diligence."
single_project,FP081,What solar rooftop capacity does the programme aim to support in its initial phase?,250 MW
single_project,FP081,What financial risk is related to delays in off-taker payments?,Delayed payments by the off-taker for delivered energy may affect the borrowerâ€™s ability to service debt.
single_project,FP081,How will the programme mitigate the risk of delayed off-taker payments?,"The programme will evaluate off-takers, select healthy off-takers with no default history, structure loan payments based on payment track record, vet power purchase agreements, and require a debt service reserve account of at least six months of project debt service."
single_project,FP081,What financial risk is related to solar irradiation?,Lower-than-expected solar irradiation could reduce the projectâ€™s ability to generate enough revenues to service debt.
single_project,FP081,How will the programme mitigate the risk of lower-than-expected solar irradiation?,"The programme will use conservative debt-sizing assumptions, maintain a minimum debt service coverage ratio, and appoint an external technical consultant to analyze solar irradiation using the best available solar database."
single_project,FP081,What technical and operational risk is linked to construction delays and cost overruns?,Delays in construction and cost overruns could cause loss of revenues.
single_project,FP081,How will the programme reduce construction delay and cost overrun risks?,"The programme will select accessible sites, assess rooftop conditions before construction, use consultants for regulatory understanding, employ reputable engineering, procurement and construction contractors, transfer construction risk through contract arrangements, require liquidated damages, and seek additional sponsor support for excluded risks."
single_project,FP081,What is the final target for emissions reduced or avoided as a result of the programme?,"5,212,200 tCO2eq"
single_project,FP081,What is the final target for finance leveraged by the programme?,250 USD million
single_project,FP081,What is the final target for cost per ton of carbon dioxide equivalent avoided across all funded mitigation projects?,47.96 USD / tC02eq
single_project,FP081,"What capacity does the programme target for low-emission energy installed, generated, or rehabilitated at the intermediate stage?",100 MW
single_project,FP081,What does the funding proposals output aim to support?,Financing of commercially viable solar rooftop projects.
single_project,FP081,What is the final target for funding proposals received by Tata Cleantech Capital Limited?,Proposals aggregating to 250 MW.
single_project,FP081,What is the expected funding for proposals sanctioned under the programme?,200 million USD
single_project,FP081,What economic co-benefit is expected in terms of jobs?,"The programme is estimated to help create between 5,000 and 7,500 jobs, with a final target of 5,000 jobs created."
single_project,FP081,What gender-related social co-benefit does the programme plan to support?,Improving job opportunities for women in the emerging renewable energy sector
single_project,FP081,What environmental co-benefit is expected from reducing diesel-based distributed generation?,Improved air quality
single_project,FP083,How much geothermal capacity could a geothermal risk-mitigation facility unlock when developers receive support for exploration drilling?,1 -1.5 GW
single_project,FP083,How could regulatory uncertainty affect investment?,"First, the most recent tariff policy requiring power price to be competitive with the average cost of generation in a region rather than the marginal economic costs of new supply appears to create an additional barrier to bringing on-line renewable energy more broadly and geothermal energy more specifically. This can become a disincentive for geothermal development in areas with low average costs, including large power markets with rich geothermal resources and large power demand, such as Java and Sumatra. Second, uncertainty related to post-exploration business-to-business negotiations of PPA sales price with PLN may prevent developers from investing in exploration. This uncertainty could be compounded by the new requirement for ministerial approval of PPA sales price, which may be perceived as excessive scrutiny and may further deter investors."
single_project,FP083,What does the Project aim to establish to support exploration drilling by geothermal developers in Indonesia?,A first-of-its-kind Facility to support exploration drilling by geothermal developers
single_project,FP083,What was Indonesiaâ€™s electricity generation mix in 2017 according to PLNâ€™s RUPTL 2018?," 58.3% coal, 23.2% gas, 6% diesel, and 12.5% renewables."
single_project,FP083,What greenhouse gas reduction target did Indonesia commit to under its Nationally Determined Contribution?,29% reduction of greenhouse gas emissions by 2030.
single_project,FP083,What national strategy does the geothermal investment activity support?,Indonesiaâ€™s plan to increase the share of renewable energy in the power generation mix to 23% by 2026.
single_project,FP083,What is the purpose of supporting resource confirmation drilling in geothermal development?,The project aims to support a scale-up of investment in geothermal energy development by establishing a Geothermal Resource Risk Mitigation Facility.
single_project,FP083,How can clean power generation reduce emissions in the power sector?,"By displacing displacing highly-polluting power supply alternatives and diversifying its generation portfolio, reducing reliance on fossil fuels and exposure to commodity price volatilities."
single_project,FP083,What financing sources and amounts are listed?,"IBRD (US$325 million loan), and GCF (US$25 million soft loan, US$150 million reimbursable grant, and US$10 million grant)."
single_project,FP083,What long-term impacts should be reported for a renewable power generation activity?,"The Project is expected to enable reduction of 187 â€“ 281 MtCO2e over the generating assetsâ€™ lifetime, an additional electric power generation capacity of 1 â€“ 1.5 GW from geothermal resources and US$4 â€“ 5.5 billion of mostly private capital "
single_project,FP083,What regulatory risk is identified for geothermal development?,"Frequent regulatory changes and uncertainties, including tariff policy and post-exploration PPA price negotiations, may deter geothermal investment."
single_project,FP083,What actions can help address regulatory barriers in the geothermal sector?,The project team will continue dialogue with key policy-makers and stakeholders through the Technical Assistance Component.
single_project,FP083,What actions can help increase uptake of a risk mitigation facility?,"The team will align financing terms with market conditions and developer risk appetite, and conduct market sounding, while working with government stakeholders to ensure the enabling legal framework is in place."
single_project,FP083,What procurement risk is identified for the project?,SMI may lack capacity for due diligence and oversight of complex drilling operations by state-owned enterprises.
single_project,FP083,How will procurement risks be mitigated?,"Each sub-project will develop a Project Procurement Strategy for Development, including market analysis and procurement planning, with possible consultant support to assess SOE capacity and support SMI oversight."
single_project,FP083,What environmental and social risks are associated with project implementation?,"Potential impacts include effects from exploration infrastructure such as access roads, drilling pads, geothermal water extraction, and discharges of water and drilling muds, along with potential long-term impacts from induced development."
single_project,FP083,How will the project manage land acquisition risks?,"Land acquisition is expected to follow willing buyer-willing seller arrangements, and infrastructure or drilling plans can be adjusted if landowners object to releasing their land."
single_project,FP083,What is the final number of emissions to be reduced as a result of Fund-funded projects?,"187,000,000 tCO2eq."
single_project,FP083,"What is the final target for low-emission energy capacity installed, generated, or rehabilitated?","1,000 MW"
single_project,FP083,What is the final target for finance leveraged by Fund funding?,4 billion USD
single_project,FP083,How many geothermal projects should be explored by the end of the project?,17
single_project,FP083,What project management unit arrangement is expected under SMI?,"A Project Management Unit is expected to be established within SMI, led by a Head of PMU, supported by a Project Manager with two deputies, and staffed with specialists for technical, procurement, financial management, and environmental and social safeguards."
single_project,FP083,How many appraisal and drilling result evaluation reports will the project management unit prepare?,34
single_project,FP083,How can implementation activities identify and resolve gender issues?,"Gender assessments will be carried out alongside sub-project ESIAs and ESMPs to identify and resolve gender issues associated with exploration activities, including female employment."
single_project,FP083,What grid expansion plan supports geothermal generation development?,"PLN plans to expand transmission and distribution by adding 63,853 km of high-voltage transmission, 278,351 km of medium-voltage transmission or distribution, and 247,215 km of distribution."
single_project,FP083,What environmental benefits are expected from scaling up geothermal energy investment?,"Avoiding greenhouse gas emissions, negligible local pollutants, minimal freshwater requirements, and a smaller land footprint than conventional energy extraction."
single_project,FP090,What storage capacity is planned to help Tonga integrate more renewable energy into its grid?,22 MWh
single_project,FP090,How much additional grid-connected renewable capacity is the battery storage expected to unlock from private investors?,7.8 MW
single_project,FP090,Why is battery energy storage important in an island power system with rising solar and wind penetration?,"Because it helps maintain grid stability, supports renewable integration, reduces diesel dependence, and can unlock private investment in additional renewable generation."
single_project,FP090,What renewable energy resources does Tonga have large potential for?,"Tonga has large potential for solar, wind, and biomass renewable energy."
single_project,FP090,What are Tongaâ€™s renewable electricity generation targets under its Nationally Determined Contributions?,Tonga targets 50% of electricity from renewables by 2020 and 70% by 2030.
single_project,FP090,What share of Tongaâ€™s electricity will be generated from renewable energy after the first two phases of the energy roadmap are complete?,27%
single_project,FP090,What phase of Tongaâ€™s Energy Road Map will the project help implement?,Phase 3
single_project,FP090,What target did Tonga set for reducing electricity line losses by 2020 and from which baseline?,"9% by 2020, from a baseline of 18% in 2010"
single_project,FP090,What social and environmental risk is related to tropical cyclones and natural hazards?,More frequent or intense tropical cyclones or other natural hazards may damage project infrastructure.
single_project,FP090,How will the project mitigate the risk of damage from cyclones and earthquakes?,The project will ensure that infrastructure investments meet standards for cyclone and earthquake resilience.
single_project,FP090,What coordination risk could affect implementation?,Poor coordination between executing entities and oversight agencies may inhibit effective implementation.
single_project,FP090,How will the project address coordination risks among executing entities and oversight agencies?,"A Project Administration Manual will set out reporting, monitoring, evaluation activities, responsibilities, and budget requirements, and ADB will follow implementation processes and reporting obligations."
single_project,FP090,What risk is related to future falls in diesel prices?,"If the price of diesel falls significantly, it may undermine the competitiveness of renewable energy technologies over the short term.."
